filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
0e045dc8-282b-4807-b426-37b3b8f2e0e6.fast5	0e045dc8-282b-4807-b426-37b3b8f2e0e6	e3690464147f831e944be7d71be5c407b681cbb7	0	628	2	18641.595500	44.474000	35579	TRUE	18641.811750	35406	44.257750	21353	8.067044	0.000000	77.489738	10.965529	78.821617	10.158994
ba03eb9e-c120-4eed-a102-769033ebba73.fast5	ba03eb9e-c120-4eed-a102-769033ebba73	e3690464147f831e944be7d71be5c407b681cbb7	0	1032	2	18623.924750	117.385000	93908	TRUE	18624.002250	93846	117.307500	56148	9.744671	0.000000	77.855255	10.600012	76.695564	10.178854
8220502c-e107-4954-958f-cff7f206a233.fast5	8220502c-e107-4954-958f-cff7f206a233	e3690464147f831e944be7d71be5c407b681cbb7	0	915	4	18731.552750	6.589250	5271	TRUE	18731.811500	5064	6.330500	3411	11.162240	0.000000	79.682846	10.234494	78.821617	10.963058
d82c650a-fc62-42e7-b4e7-631465577038.fast5	d82c650a-fc62-42e7-b4e7-631465577038	e3690464147f831e944be7d71be5c407b681cbb7	0	702	2	18603.827250	98.840750	79072	TRUE	18603.866000	79041	98.802000	48598	9.358839	0.000000	76.758705	10.600012	76.995728	10.461022
3da03fe2-6d62-4c6f-830b-3c45973e4dc8.fast5	3da03fe2-6d62-4c6f-830b-3c45973e4dc8	e3690464147f831e944be7d71be5c407b681cbb7	0	174	3	18589.183000	72.097500	57678	TRUE	18589.795500	57188	71.485000	36691	10.869934	0.000000	76.393188	10.600012	76.695564	9.923660
9228b429-5e47-4ef4-b3c1-81bf080e0a92.fast5	9228b429-5e47-4ef4-b3c1-81bf080e0a92	e3690464147f831e944be7d71be5c407b681cbb7	0	248	4	18700.041500	27.768000	22214	TRUE	18700.277750	22025	27.531750	14813	9.816904	0.000000	78.220779	10.600012	78.514343	10.856518
bca52247-4527-489a-bf0f-21411273a015.fast5	bca52247-4527-489a-bf0f-21411273a015	e3690464147f831e944be7d71be5c407b681cbb7	0	776	2	18595.416250	75.629500	60503	TRUE	18595.510000	60428	75.535750	39482	10.849364	0.000000	76.758705	10.965529	76.995728	10.021047
86d725a7-1851-4f00-a864-63882bba446a.fast5	86d725a7-1851-4f00-a864-63882bba446a	e3690464147f831e944be7d71be5c407b681cbb7	0	2230	1	18617.684250	79.358250	63486	TRUE	18617.843000	63359	79.199500	40589	10.588211	0.000000	73.103531	10.234494	75.506493	9.750745
592432e0-d4ba-402a-b555-77224c2b7089.fast5	592432e0-d4ba-402a-b555-77224c2b7089	e3690464147f831e944be7d71be5c407b681cbb7	0	516	3	18673.034500	68.934500	55147	TRUE	18673.448250	54816	68.520750	39055	8.557414	0.000000	70.179390	9.868977	69.832092	9.231821
5aa2b41b-aa8f-450c-bd5c-37e26961adec.fast5	5aa2b41b-aa8f-450c-bd5c-37e26961adec	e3690464147f831e944be7d71be5c407b681cbb7	0	971	3	18687.997500	16.335750	13068	TRUE	18688.051250	13025	16.282000	7966	12.348073	0.000000	76.027672	9.868977	75.506493	9.981977
8bf34956-11bb-4b0d-a4c9-acc4085e97a4.fast5	8bf34956-11bb-4b0d-a4c9-acc4085e97a4	e3690464147f831e944be7d71be5c407b681cbb7	0	1448	2	18661.826250	21.399500	17119	TRUE	18661.916250	17047	21.309500	12065	9.400696	0.000000	78.586296	9.137941	77.297089	10.060267
72eb6154-669d-4645-9265-87b696b599e5.fast5	72eb6154-669d-4645-9265-87b696b599e5	e3690464147f831e944be7d71be5c407b681cbb7	0	806	3	18688.608500	27.804000	22243	TRUE	18688.867250	22036	27.545250	15933	10.456067	0.000000	83.703545	10.234494	82.604362	10.339149
cf737650-e6fb-4341-9fc6-a46473202062.fast5	cf737650-e6fb-4341-9fc6-a46473202062	e3690464147f831e944be7d71be5c407b681cbb7	0	1203	2	18662.380000	37.829250	30263	TRUE	18662.842500	29893	37.366750	20786	10.852159	0.000000	77.489738	9.868977	76.098694	9.580843
89563782-954b-483d-9cba-b2884bc4f90c.fast5	89563782-954b-483d-9cba-b2884bc4f90c	e3690464147f831e944be7d71be5c407b681cbb7	0	20	2	18565.991500	92.016250	73613	TRUE	18566.119000	73511	91.888750	48981	9.462190	0.000000	76.027672	9.868977	74.918900	10.021047
24689ede-8d6c-4a04-bbbe-db174506cf8b.fast5	24689ede-8d6c-4a04-bbbe-db174506cf8b	e3690464147f831e944be7d71be5c407b681cbb7	0	2040	3	18693.131500	47.644750	38115	TRUE	18693.365250	37928	47.411000	23968	11.021114	0.000000	80.048363	9.868977	78.514343	10.021047
99fe8752-d0e8-4a5e-b824-70562276bdb6.fast5	99fe8752-d0e8-4a5e-b824-70562276bdb6	e3690464147f831e944be7d71be5c407b681cbb7	0	1199	2	18666.746500	18.026250	14421	TRUE	18666.882750	14312	17.890000	9995	7.897103	0.000000	74.931114	10.600012	75.802025	10.298841
648e7430-6d1e-4a25-9f6f-bdc61bafc554.fast5	648e7430-6d1e-4a25-9f6f-bdc61bafc554	e3690464147f831e944be7d71be5c407b681cbb7	0	470	3	18660.971500	4.978250	3982	TRUE	18661.016500	3946	4.933250	2677	12.745673	0.000000	78.586296	10.234494	75.506493	10.379615
